id,restr_name,food_ctg,addr,code
1,담꾹 영등포역점,밀키트,서울 영등포구 영신로19길 18 금영빌딩 1층 5호,1707864650
2,깻잎두마리치킨,"치킨,닭강정",경기 양주시 화합로1402번길 24-29,1255211747
3,쾌남떡볶이,떡볶이,서울 강서구 강서로45길 46,31290669
4,119불냉면 광진점,한식,서울 광진구 광나루로 438,1782504360
5,풀뜯는돼지,"육류,고기요리",서울 마포구 동교로32길 7 1층 풀뜯는돼지,1630360144
6,드림호프,"맥주,호프",서울 은평구 증산로15길 25,20915009
7,열정의선창,바(BAR),서울 마포구 월드컵북로7길 14 1층 검은문 사자문고리,1082107920
8,응급실국물떡볶이 서울서교점,분식,서울 마포구 월드컵북로5나길 18 서교동 대우미래사랑 1층 132호,1286064138
9,호남식당,한식,서울 구로구 디지털로27길 116,1867033144
10,가정한식당,한식,서울 동대문구 안암로16길 15,18841405
11,맘스터치 평택역점,햄버거,경기 평택시 중앙2로 8,36963049
12,계림원 당산점,"치킨,닭강정",서울 영등포구 양산로 131-1,33393718
13,독점숯불닭갈비,닭갈비,서울 강동구 구천면로 249 1층 독점숯불닭갈비,1906387234
14,포차천국 장현점,포장마차,경기 남양주시 진접읍 장현로 63 1층 포차천국,1204841258
15,스타라이브카페,라이브카페,경기 군포시 산본로323번길 16-29 청송프라자 지하 101호,1332679094
16,피자마루 서울 국사봉점,피자,서울 동작구 양녕로 190,1953101301
17,커스텀커피 오산점,카페,경기 오산시 대호로 99,1152211525
18,24시셀프카페 상동점,"카페,디저트",경기 부천시 원미구 길주로 125,1671361734
19,청향우육면,중식당,서울 서대문구 연세로4길 52 2층,1596850537
20,육회지존 신대방역점,"육류,고기요리",서울 관악구 난곡로 360 필지지상 103호,13569180
21,카페코나퀸즈 용산점,카페,서울 용산구 한강대로 95 B239호,406655181
22,스피릿커피,카페,서울 강서구 화곡로68길 3 1층 102호,1063171153
23,59쌀피자 성공회대점,피자,서울 구로구 연동로 312 동삼파크빌라,21728478
24,삼청동샤브 AK금정점,샤브샤브,경기 군포시 엘에스로 143 힐스테이트 금정역 2013호,1133978583
25,채선당 샤브보트 롯데백화점 잠실점,샤브샤브,서울 송파구 송파대로 521 롯데백화점 잠실점 지하 1층,1853575550
26,24시 냉삼식당 신사점,한식,서울 강남구 압구정로2길 60 MG타워 1층 냉삼식당,38276485
27,바다횟집,생선회,서울 강동구 동남로71길 38,20632334
28,통영곰장어,"장어,먹장어요리",충남 천안시 서북구 미라2길 48 히트사격장,1180702322
29,은희네백반,"백반,가정식",서울 구로구 구로중앙로28길 53-8,1259308899
30,오니기리와이규동 교대메가스터디점,오니기리,서울 서초구 서초중앙로22길 17,38230079
31,연남토마 연남본점,퓨전음식,서울 마포구 월드컵북로6길 61 연남토마,1229825670
32,이모네포차,포장마차,서울 관악구 봉천로 473-13,20936715
33,마더인디아,인도음식,서울 영등포구 국제금융로 86 롯데캐슬 아이비,37445367
34,큰맘할매순대국 수원세류점,"순대,순댓국",경기 수원시 권선구 장다리로 37 11호,1327773101
35,산미통닭 십정점,"치킨,닭강정",인천 부평구 열우물로50번길 9-1,1426809683
36,포만감성,"도시락,컵밥",경기 고양시 일산서구 중앙로 1471 상가동 2층 220호 내부 13호,1506884804
37,배스킨라빈스 의정부중앙로,아이스크림,경기 의정부시 행복로 1,11489513
38,루디테이블,케이크전문,경기 안산시 상록구 광덕1로 376 한대프라자 2층,1156344992
39,쥬씨 천안성정점,"과일,주스전문점",충남 천안시 서북구 성정공원5로 31,1947706884
40,원조만선호프,"맥주,호프",서울 중구 충무로9길 14,1566105397
41,산골마당,한식,경기 수원시 팔달구 매산로1가 2-12,1164658994
42,유연정,한식,서울 강남구 개포로109길 34,1238129701
43,라인호프,"맥주,호프",인천 서구 율도로 108,38383716
44,칠백상회,"카페,디저트",서울 강서구 곰달래로 104 기룡빌딩 3층,1876932809
45,성원식당,한식,서울 노원구 덕릉로126다길 3,1289702329
46,OK족발&보쌈 본점,"족발,보쌈",경기 시흥시 봉우재로51번길 4-3 1층 103호,1898981731
47,삼형제손칼국수 서울대입구역점,"칼국수,만두",서울 관악구 관악로24길 48,1781469450
48,땅스부대찌개 개봉점,"찌개,전골",서울 구로구 개봉로17길 37,1158688136
49,아주불곱창 응암점,"곱창,막창,양",서울 은평구 은평로 101,33962031
50,동대문엽기떡볶이 독산점,분식,서울 금천구 시흥대로 392,33894507
51,육전면사무소 수원성균관대점,요리주점,경기 수원시 장안구 서부로 2115 1층,1657729023
52,스타벅스 미사역그랑파사쥬점,카페,경기 하남시 미사강변동로 95,1851157698
53,진스시,"초밥,롤",서울 구로구 경인로47길 58 진스시,1469959384
54,봉평메밀촌 홍제점,막국수,서울 서대문구 통일로39가길 27,36294815
55,청춘연탄생갈비,소고기구이,충남 천안시 서북구 불당8길 8 1층(불당동),1245891478
56,호뎅바,"오뎅,꼬치",서울 동작구 동작대로7길 33,1916967837
57,원당감자탕뼈해장국,감자탕,경기 고양시 덕양구 고양대로1369번길 45,1826279925
58,삼산회관 인천청천점,"육류,고기요리",인천 부평구 세월천로 3 1층,1180006061
59,복돈기사식당,기사식당,서울 송파구 백제고분로22길 30,18865519
60,정겨운오뎅집 삼성점,"오뎅,꼬치",서울 강남구 테헤란로81길 56,11002997
61,내가 김치찜이다,한식,서울 금천구 독산로107길 14,1336806264
62,청진동해장국,해장국,인천 미추홀구 미추로 46-1,1153641623
63,오가도,"맥주,호프",서울 도봉구 도봉로159길 20,20866492
64,굽네치킨 경복궁점,"치킨,닭강정",서울 종로구 사직로 114 경복세븐빌딩,13395049
65,카페커프신대방점,카페,서울 동작구 보라매로 98-6,672559672
66,아삽 샌드위치,샌드위치,서울 용산구 청파로49길 54 1층,1472699278
67,이디야커피 도림점,카페,서울 영등포구 도신로15길 40,1019754428
68,국수나무 안산중앙점,국수,경기 안산시 단원구 중앙대로 907 안산종합상가 3동 3139호,1288894669
69,삼촌스토리,떡볶이,경기 군포시 산본천로179번길 21 1층,38268942
70,돈가스보다함박잘하는집,일식당,서울 동작구 상도로 118,1493639275
71,구로광안리,생선회,서울 구로구 디지털로32나길 11 2층,1728805086
72,두꺼비주물럭,소고기구이,경기 안산시 단원구 안산천서로 9 우진빌딩,18205477
73,혼밥에 빠진날 수유점,한식,서울 강북구 노해로17길 28 1층,1310700972
74,오수별채,한식,서울 종로구 인사동8길 12-1,33292796
75,예가낙지마을,낙지요리,서울 강남구 영동대로 513,1439828147
76,고릴라김밥 서소문점,김밥,서울 중구 서소문동 서소문로 134-6,1204371366
77,시골집진지상,한정식,서울 중구 마장로15길 2-27,18103282
78,굶지마시오,한식,경기 안양시 만안구 안양로257번길 15,1059583505
79,안주마을,요리주점,서울 은평구 갈현로 300 1층 112호,1173812224
80,최강족발&보쌈,"족발,보쌈",서울 송파구 송이로 101 1층최강족발,109092715
81,고재욱 낭만포차,포장마차,서울 송파구 올림픽로47길 15 . 1층 고재욱 낭만포차,1428998561
82,식도락,한식,경기 군포시 속달로110번길 16,1697372454
83,뻘밭에 핀 꽃,한식,서울 동작구 사당로22길 8,1289556148
84,달빛정원,"맥주,호프",경기 양주시 평화로 1556,1621338625
85,준섬진강다슬기,한식,경기 광명시 일직로 43 지아이디씨 C동 1층 1107호,1150882611
86,석정껍데기소금구이,돼지고기구이,인천 미추홀구 주안중로38번길 1-1,33913363
87,로뎀나무아래서,"카페,디저트",서울 노원구 상계로9가길 29 1층 일부,1233655556
88,봉이밥 인사동점,한식,서울 종로구 삼일대로 446-34 101호,1684042890
89,만원의 행복,한식,서울 관악구 국회단지27길 15,1259815108
90,오병이어,종합분식,인천 부평구 경인로 948,1283283774
91,송죽헌,한정식,서울 종로구 율곡로6길 17,11680189
92,퀴즈노스 서울성모병원점,샌드위치,"서울 서초구 반포대로 222 지하1층 (반포동, 서울성모병원 본관)",1226942623
93,수도원,술집,서울 종로구 동숭3길 16 지하1층,37691225
94,코아김밥,김밥,경기 수원시 팔달구 화양로50번길 30,1742940633
95,새벽찜닭,찜닭,서울 관악구 은천로 143 관악동부센트레빌,31506060
96,성민양꼬치 2호점,양꼬치,서울 관악구 관악로14길 15,38238508
